url,date,title,changes,file_name
https://github.com/git/git/commit/878056005e94f5fea00c9ff8999f30a99bf10cae,22 Feb 2018,"sequencer: factor out strbuf_read_file_or_whine()

Reduce code duplication by factoring out a function that reads an entire
file into a strbuf, or reports errors on stderr if something goes wrong.

Signed-off-by: Rene Scharfe <l.s.r@web.de>
Signed-off-by: Junio C Hamano <gitster@pobox.com>",74,data/crawl/git/patch_0.diff
https://github.com/git/git/commit/efdfe11f4f1f901db1ebfa7ebda6337293a2e5c5,22 Feb 2018,"replace: rename 'new' variables

Rename C++ keyword in order to bring the codebase closer to being able
to be compiled with a C++ compiler.

Signed-off-by: Brandon Williams <bmwill@google.com>
Signed-off-by: Junio C Hamano <gitster@pobox.com>",34,data/crawl/git/patch_1.diff
https://github.com/git/git/commit/fa0fccae6ab1ad242d8805baf5acb7e5d4518540,22 Feb 2018,"init-db: rename 'template' variables

Rename C++ keyword in order to bring the codebase closer to being able
to be compiled with a C++ compiler.

Signed-off-by: Brandon Williams <bmwill@google.com>
Signed-off-by: Junio C Hamano <gitster@pobox.com>",30,data/crawl/git/patch_2.diff
https://github.com/git/git/commit/b537e0b1cfe9b1e52fad2623c8de0de40ab12beb,22 Feb 2018,"remote: rename 'new' variables

Rename C++ keyword in order to bring the codebase closer to being able
to be compiled with a C++ compiler.

Signed-off-by: Brandon Williams <bmwill@google.com>
Signed-off-by: Junio C Hamano <gitster@pobox.com>",66,data/crawl/git/patch_3.diff
https://github.com/git/git/commit/c8a3ea1f2972cb18715f06f99973c594b329c472,22 Feb 2018,"checkout: rename 'new' variables

Rename C++ keyword in order to bring the codebase closer to being able
to be compiled with a C++ compiler.

Signed-off-by: Brandon Williams <bmwill@google.com>
Signed-off-by: Junio C Hamano <gitster@pobox.com>",196,data/crawl/git/patch_4.diff
https://github.com/git/git/commit/e3a80781f5932f5fea12a49eb06f3ade4ed8945c,21 Feb 2018,Fourth batch for 2.17,12,data/crawl/git/patch_5.diff
https://github.com/git/git/commit/2bbc6e8a92e5bfe4f1db3836d7106aa0e9df9479,21 Feb 2018,"ref-filter: get rid of duplicate code

Make one function from 2 duplicate pieces and invoke it twice.

Signed-off-by: Olga Telezhnaia <olyatelezhnaya@gmail.com>
Mentored-by: Christian Couder <christian.couder@gmail.com>
Mentored by: Jeff King <peff@peff.net>
Signed-off-by: Junio C Hamano <gitster@pobox.com>",45,data/crawl/git/patch_6.diff
https://github.com/git/git/commit/90dce21eb0fcf28096e661a3dd3b4e93fa0bccb5,20 Feb 2018,"remote-curl: unquote incoming push-options

The transport-helper protocol c-style quotes the value of
any options passed to the helper via the ""option <key> <value>""
directive. However, remote-curl doesn't actually unquote the
push-option values, meaning that we will send the quoted
version to the other side (whereas git-over-ssh would send
the raw value).

The pack-protocol.txt documentation defines the push-options
as a series of VCHARs, which excludes most characters that
would need quoting. But:

  1. You can still see the bug with a valid push-option that
     starts with a double-quote (since that triggers
     quoting).

  2. We do currently handle any non-NUL characters correctly
     in git-over-ssh. So even though the spec does not say
     that we need to handle most quoted characters, it's
     nice if our behavior is consistent between protocols.

There are two new tests: the ""direct"" one shows that this
already works in the non-http case, and the http one covers
this bugfix.

Reported-by: Jon Simons <jon@jonsimons.org>
Signed-off-by: Jeff King <peff@peff.net>
Signed-off-by: Junio C Hamano <gitster@pobox.com>",29,data/crawl/git/patch_7.diff
https://github.com/git/git/commit/4669e7d68ec8fb6ff3572a1193ae75ae2094b8e6,15 Feb 2018,"packfile: remove GIT_DEBUG_LOOKUP log statements

In commit 628522ec1439 (""sha1-lookup: more memory efficient search in
sorted list of SHA-1"", 2008-04-09), a different algorithm for searching
a sorted list was introduced, together with a set of log statements
guarded by GIT_DEBUG_LOOKUP that are invoked both when using that
algorithm and when using the existing binary search. Those log
statements was meant for experiments and debugging, but with the removal
of the aforementioned different algorithm in commit f1068efefe6d
(""sha1_file: drop experimental GIT_USE_LOOKUP search"", 2017-08-09),
those log statements are probably no longer necessary.

Remove those statements.

Signed-off-by: Jonathan Tan <jonathantanmy@google.com>
Signed-off-by: Junio C Hamano <gitster@pobox.com>",11,data/crawl/git/patch_8.diff
https://github.com/git/git/commit/debca9d2fe784193dc2d9f98b5edac605ddfefbb,14 Feb 2018,"object: rename function 'typename' to 'type_name'

Rename C++ keyword in order to bring the codebase closer to being able
to be compiled with a C++ compiler.

Signed-off-by: Brandon Williams <bmwill@google.com>
Signed-off-by: Junio C Hamano <gitster@pobox.com>",146,data/crawl/git/patch_9.diff
