url,date,title,changes,file_name,patch_type,other_info,old_hunk_file,new_hunk_file,old_loc,new_loc,old_log,new_log,edit_types,edit_words,edit_feature,cluster,wait_time
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=bb798080beec25634f7552934324b5f5c995707f,17 Nov 2003,"(diff_archive): Use sparse_diff_file.
",67,data/crawl/tar/hunk_209.cpp,,,data/crawl/tar/old_hunk_209.cpp,data/crawl/tar/new_hunk_209.cpp,3,3,report_difference (NULL);,"report_difference (&current_stat_info, NULL);","[""addVariable""]","[[], [""&current_stat_info""]]",[6190982474121776615],595,0:00:00
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=bb798080beec25634f7552934324b5f5c995707f,17 Nov 2003,"(diff_archive): Use sparse_diff_file.
",67,data/crawl/tar/hunk_209.cpp,,,data/crawl/tar/old_hunk_209.cpp,data/crawl/tar/new_hunk_209.cpp,7,7,"report_difference (ngettext (""Could only read %lu of %lu byte"",
				       ""Could only read %lu of %lu bytes"",
				       bytes),
			     (unsigned long) status, (unsigned long) bytes);","report_difference (&current_stat_info, 
			     ngettext (""Could only read %lu of %lu byte"",
				       ""Could only read %lu of %lu bytes"",
				       bytes),
			     (unsigned long) status, (unsigned long) bytes);","[""addVariable""]","[[], [""&current_stat_info""]]",[6190982474121776615],595,0:00:00
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=bb798080beec25634f7552934324b5f5c995707f,17 Nov 2003,"(diff_archive): Use sparse_diff_file.
",67,data/crawl/tar/hunk_210.cpp,,,data/crawl/tar/old_hunk_210.cpp,data/crawl/tar/new_hunk_210.cpp,3,3,"report_difference (_(""Contents differ""));","report_difference (&current_stat_info,
			 _(""Contents differ""));","[""addVariable""]","[[], [""&current_stat_info""]]",[6190982474121776615],595,0:00:00
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=bb798080beec25634f7552934324b5f5c995707f,17 Nov 2003,"(diff_archive): Use sparse_diff_file.
",67,data/crawl/tar/hunk_211.cpp,,,data/crawl/tar/old_hunk_211.cpp,data/crawl/tar/new_hunk_211.cpp,3,3,"report_difference (_(""Contents differ""));","report_difference (&current_stat_info, _(""Contents differ""));","[""addVariable""]","[[], [""&current_stat_info""]]",[6190982474121776615],595,0:00:00
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=bb798080beec25634f7552934324b5f5c995707f,17 Nov 2003,"(diff_archive): Use sparse_diff_file.
",67,data/crawl/tar/hunk_212.cpp,,,data/crawl/tar/old_hunk_212.cpp,data/crawl/tar/new_hunk_212.cpp,3,3,report_difference (NULL);,"report_difference (&current_stat_info, NULL);","[""addVariable""]","[[], [""&current_stat_info""]]",[6190982474121776615],595,0:00:00
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=bb798080beec25634f7552934324b5f5c995707f,17 Nov 2003,"(diff_archive): Use sparse_diff_file.
",67,data/crawl/tar/hunk_213.cpp,,,data/crawl/tar/old_hunk_213.cpp,data/crawl/tar/new_hunk_213.cpp,3,3,"report_difference (_(""File type differs""));","report_difference (&current_stat_info, _(""File type differs""));","[""addVariable""]","[[], [""&current_stat_info""]]",[6190982474121776615],595,0:00:00
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=bb798080beec25634f7552934324b5f5c995707f,17 Nov 2003,"(diff_archive): Use sparse_diff_file.
",67,data/crawl/tar/hunk_213.cpp,,,data/crawl/tar/old_hunk_213.cpp,data/crawl/tar/new_hunk_213.cpp,9,10,"report_difference (_(""Mode differs""));","report_difference (&current_stat_info, _(""Mode differs""));","[""addVariable""]","[[], [""&current_stat_info""]]",[6190982474121776615],595,0:00:00
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=bb798080beec25634f7552934324b5f5c995707f,17 Nov 2003,"(diff_archive): Use sparse_diff_file.
",67,data/crawl/tar/hunk_213.cpp,,,data/crawl/tar/old_hunk_213.cpp,data/crawl/tar/new_hunk_213.cpp,14,18,"report_difference (_(""Mod time differs""));","report_difference (&current_stat_info, _(""Mod time differs""));","[""addVariable""]","[[], [""&current_stat_info""]]",[6190982474121776615],595,0:00:00
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=bb798080beec25634f7552934324b5f5c995707f,17 Nov 2003,"(diff_archive): Use sparse_diff_file.
",67,data/crawl/tar/hunk_213.cpp,,,data/crawl/tar/old_hunk_213.cpp,data/crawl/tar/new_hunk_213.cpp,18,22,"report_difference (_(""Size differs""));","report_difference (&current_stat_info, _(""Size differs""));","[""addVariable""]","[[], [""&current_stat_info""]]",[6190982474121776615],595,0:00:00
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=bb798080beec25634f7552934324b5f5c995707f,17 Nov 2003,"(diff_archive): Use sparse_diff_file.
",67,data/crawl/tar/hunk_214.cpp,,,data/crawl/tar/old_hunk_214.cpp,data/crawl/tar/new_hunk_214.cpp,3,3,report_difference (NULL);,"report_difference (&current_stat_info, NULL);","[""addVariable""]","[[], [""&current_stat_info""]]",[6190982474121776615],595,0:00:00
http://git.savannah.gnu.org/cgit/tar.git/commit/?id=bb798080beec25634f7552934324b5f5c995707f,17 Nov 2003,"(diff_archive): Use sparse_diff_file.
",67,data/crawl/tar/hunk_216.cpp,,,data/crawl/tar/old_hunk_216.cpp,data/crawl/tar/new_hunk_216.cpp,3,3,report_difference (NULL);,"report_difference (&current_stat_info, NULL);","[""addVariable""]","[[], [""&current_stat_info""]]",[6190982474121776615],595,0:00:00
